Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost
Europe,Georgia,Vegetables,Offline,H,2/1/14,478492200,2/26/14,5330,154.06,90.93
Europe,Bosnia and Herzegovina,Cosmetics,Offline,H,3/3/12,257427108,4/10/12,7257,437.2,263.33
Europe,Iceland,Snacks,Online,H,4/22/15,723186051,5/13/15,5678,152.58,97.44
Sub-Saharan Africa,Mauritius ,Personal Care,Online,M,5/12/11,353942859,5/15/11,8412,81.73,56.67
Sub-Saharan Africa,Malawi,Office Supplies,Online,C,12/21/11,848183858,1/18/12,5307,651.21,524.96
Sub-Saharan Africa,Seychelles ,Meat,Online,C,12/2/10,374707877,12/25/10,3243,421.89,364.69
Europe,Montenegro,Personal Care,Online,L,8/14/10,322626245,9/16/10,1130,81.73,56.67
Europe,Germany,Household,Online,L,10/5/10,351362788,11/14/10,4912,668.27,502.54
Europe,Estonia,Meat,Offline,H,2/8/12,640653836,3/18/12,2562,421.89,364.69
Europe,Serbia,Clothes,Online,M,9/8/12,540548217,9/20/12,9084,109.28,35.84
Sub-Saharan Africa,Madagascar,Baby Food,Offline,C,8/11/11,821407258,8/19/11,1516,255.28,159.42
Sub-Saharan Africa,Benin,Beverages,Offline,H,10/28/12,523904788,11/7/12,3924,47.45,31.79
Europe,Hungary,Clothes,Online,M,10/11/13,109027135,10/27/13,2407,109.28,35.84
Central America and the Caribbean,Cuba,Cosmetics,Online,L,10/6/16,108073127,10/20/16,95,437.2,263.33
Sub-Saharan Africa,Senegal,Fruits,Offline,H,7/28/17,672654092,7/31/17,2148,9.33,6.92
Middle East and North Africa,Algeria,Vegetables,Online,M,11/4/16,224693858,11/25/16,761,154.06,90.93
Europe,Bosnia and Herzegovina,Personal Care,Online,M,4/12/16,406428754,5/1/16,155,81.73,56.67
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,Online,H,11/13/14,230407607,12/20/14,1586,255.28,159.42
Asia,Cambodia,Personal Care,Online,H,8/26/12,129491746,9/22/12,8340,81.73,56.67
Middle East and North Africa,Oman,Vegetables,Online,C,7/15/14,606854999,8/15/14,735,154.06,90.93
North America,United States of America,Baby Food,Offline,L,5/2/11,885983693,5/4/11,1118,255.28,159.42
Sub-Saharan Africa,Mauritania,Office Supplies,Offline,L,11/11/13,260676658,12/17/13,8871,651.21,524.96
Sub-Saharan Africa,Central African Republic,Cosmetics,Offline,H,4/14/11,345045220,5/20/11,5403,437.2,263.33
Europe,Albania,Baby Food,Online,H,10/4/12,123513209,11/21/12,9158,255.28,159.42
Europe,Switzerland,Vegetables,Online,M,5/14/13,900816953,6/10/13,609,154.06,90.93
Sub-Saharan Africa,Ghana,Household,Online,M,1/12/13,452005279,2/2/13,7261,668.27,502.54
Europe,Austria,Vegetables,Online,H,10/3/12,672439515,11/12/12,8650,154.06,90.93
Sub-Saharan Africa,Democratic Republic of the Congo,Household,Offline,L,10/23/10,827793490,11/20/10,1344,668.27,502.54
Central America and the Caribbean,Dominican Republic,Clothes,Online,L,2/6/14,704053533,3/28/14,3941,109.28,35.84
Sub-Saharan Africa,Mauritius ,Baby Food,Offline,H,9/4/11,157518470,9/4/11,2070,255.28,159.42
Middle East and North Africa,Libya,Cosmetics,Offline,C,5/12/16,464799630,6/26/16,3394,437.2,263.33
Australia and Oceania,Samoa ,Office Supplies,Online,M,7/19/15,272820842,8/20/15,2605,651.21,524.96
Middle East and North Africa,Kuwait,Personal Care,Online,H,10/28/12,548818433,11/24/12,6425,81.73,56.67
Europe,Hungary,Meat,Online,C,8/25/16,530341231,9/25/16,8611,421.89,364.69
Sub-Saharan Africa,Senegal,Beverages,Offline,C,10/25/13,875250566,11/3/13,4947,47.45,31.79
Europe,Moldova ,Personal Care,Offline,H,2/11/11,511720263,2/26/11,8252,81.73,56.67
Sub-Saharan Africa,Eritrea,Beverages,Offline,M,5/27/16,688236653,6/13/16,3375,47.45,31.79
Sub-Saharan Africa,Niger,Personal Care,Online,C,2/6/12,923598563,2/26/12,2194,81.73,56.67
Central America and the Caribbean,Saint Lucia,Snacks,Online,C,12/25/11,356917321,2/4/12,8622,152.58,97.44
Europe,Sweden,Vegetables,Offline,H,12/13/11,897616755,1/20/12,3600,154.06,90.93
Central America and the Caribbean,Jamaica,Baby Food,Online,H,7/20/16,475433194,8/19/16,102,255.28,159.42
Central America and the Caribbean,Haiti,Vegetables,Offline,H,6/18/12,690415465,7/14/12,8134,154.06,90.93
Australia and Oceania,Samoa ,Cosmetics,Online,H,2/23/10,962924897,4/12/10,9730,437.2,263.33
Central America and the Caribbean,Dominican Republic,Snacks,Online,M,5/5/17,783635318,5/9/17,3960,152.58,97.44
Middle East and North Africa,Tunisia ,Cereal,Online,L,7/23/12,163533055,8/13/12,1920,205.7,117.11
Asia,Taiwan,Beverages,Online,L,1/11/17,983916938,1/17/17,1742,47.45,31.79
Middle East and North Africa,Tunisia ,Cereal,Online,H,3/7/15,246398293,4/14/15,3585,205.7,117.11
Asia,Sri Lanka,Office Supplies,Offline,C,6/9/11,422900950,7/5/11,4644,651.21,524.96
Asia,Indonesia,Office Supplies,Offline,L,4/17/11,905661237,6/5/11,4141,651.21,524.96
Sub-Saharan Africa,Ethiopia,Clothes,Online,M,7/7/17,257227981,7/27/17,8330,109.28,35.84
Sub-Saharan Africa,Swaziland,Snacks,Offline,L,3/22/11,260462510,4/9/11,5500,152.58,97.44
Europe,Portugal,Fruits,Offline,L,3/29/16,968538653,4/6/16,965,9.33,6.92
Europe,Hungary,Cereal,Online,M,1/14/12,254942739,2/4/12,2077,205.7,117.11
Sub-Saharan Africa,Zimbabwe,Beverages,Online,M,3/17/13,563473594,4/10/13,3213,47.45,31.79
Europe,Armenia,Personal Care,Online,H,9/15/12,358242547,11/2/12,785,81.73,56.67
Asia,North Korea,Meat,Online,L,11/26/15,873673427,12/6/15,8237,421.89,364.69
Sub-Saharan Africa,Burkina Faso,Meat,Offline,L,2/1/14,264502561,3/20/14,1040,421.89,364.69
Asia,India,Personal Care,Offline,L,12/23/10,355778777,1/18/11,1701,81.73,56.67
Sub-Saharan Africa,Sao Tome and Principe,Household,Online,C,5/10/11,792863404,6/12/11,4755,668.27,502.54
Europe,Armenia,Meat,Offline,C,4/12/17,391430270,5/22/17,1770,421.89,364.69
Europe,Georgia,Clothes,Online,C,9/23/16,287465703,10/25/16,6344,109.28,35.84
Europe,Serbia,Cosmetics,Offline,M,2/8/10,787268531,3/14/10,9108,437.2,263.33
Australia and Oceania,Tuvalu,Cosmetics,Offline,C,1/10/14,917450082,2/11/14,2722,437.2,263.33
Central America and the Caribbean,Barbados,Vegetables,Online,L,2/3/12,674934184,2/6/12,6878,154.06,90.93
Sub-Saharan Africa,Mali,Cereal,Offline,L,9/6/11,576957166,10/11/11,3301,205.7,117.11
Sub-Saharan Africa,Central African Republic,Household,Online,M,6/18/17,311067855,6/23/17,746,668.27,502.54
Asia,Sri Lanka,Vegetables,Offline,H,6/10/12,985127580,6/13/12,9997,154.06,90.93
Europe,Bosnia and Herzegovina,Vegetables,Offline,C,10/10/14,177310168,10/19/14,8874,154.06,90.93
Europe,Netherlands,Household,Offline,M,5/19/13,486101949,6/2/13,7224,668.27,502.54
Asia,Laos,Office Supplies,Online,C,3/9/17,980301749,4/27/17,1927,651.21,524.96
Central America and the Caribbean,Honduras,Office Supplies,Online,L,6/18/13,349020898,6/23/13,1895,651.21,524.96
Sub-Saharan Africa,Zambia,Household,Online,M,1/16/17,951683223,2/1/17,3069,668.27,502.54
Sub-Saharan Africa,Botswana,Snacks,Offline,L,7/18/13,268025052,8/15/13,3424,152.58,97.44
Asia,Bhutan,Household,Online,C,2/23/16,348095214,3/15/16,7964,668.27,502.54
Sub-Saharan Africa,Zimbabwe,Household,Offline,M,5/17/16,162255036,7/1/16,3726,668.27,502.54
Sub-Saharan Africa,Lesotho,Personal Care,Offline,L,8/14/10,551178348,9/15/10,4776,81.73,56.67
Sub-Saharan Africa,Togo,Household,Offline,H,6/18/11,175851476,7/20/11,7214,668.27,502.54
Australia and Oceania,Australia,Meat,Online,M,8/17/13,467573249,9/17/13,4170,421.89,364.69
Europe,Luxembourg,Fruits,Offline,L,11/26/12,677954995,12/25/12,804,9.33,6.92
Europe,Estonia,Fruits,Offline,H,7/4/17,128920543,7/17/17,9308,9.33,6.92
Europe,United Kingdom,Meat,Online,H,12/29/13,462706220,2/3/14,3908,421.89,364.69
Middle East and North Africa,Morocco,Vegetables,Online,H,6/29/16,691860854,8/4/16,5856,154.06,90.93
Europe,United Kingdom,Office Supplies,Offline,M,6/24/17,349245774,7/10/17,8440,651.21,524.96
Australia and Oceania,Papua New Guinea,Beverages,Online,H,4/13/14,838034808,5/2/14,1978,47.45,31.79
Australia and Oceania,New Zealand,Personal Care,Offline,M,11/10/12,481714284,12/27/12,8816,81.73,56.67
Europe,Austria,Cosmetics,Offline,L,6/17/16,374083030,7/31/16,8336,437.2,263.33
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,M,3/31/14,329252374,4/15/14,1949,154.06,90.93
Asia,Myanmar,Snacks,Online,C,5/17/15,231646144,5/22/15,8097,152.58,97.44
Central America and the Caribbean,Guatemala,Baby Food,Online,M,12/4/14,486000669,12/27/14,7253,255.28,159.42
Central America and the Caribbean,Antigua and Barbuda ,Vegetables,Offline,C,10/28/12,667364776,11/9/12,6922,154.06,90.93
Middle East and North Africa,Iran,Vegetables,Online,C,1/26/10,871099793,2/28/10,6641,154.06,90.93
Asia,Singapore,Cosmetics,Online,H,7/4/12,362879550,8/6/12,2978,437.2,263.33
Sub-Saharan Africa,Sudan,Baby Food,Offline,M,11/26/11,728690373,12/17/11,4529,255.28,159.42
Europe,Macedonia,Cereal,Online,M,6/10/12,924831092,7/29/12,6927,205.7,117.11
North America,Canada,Office Supplies,Offline,C,10/24/11,427913033,11/20/11,7831,651.21,524.96
Europe,Malta,Cereal,Online,C,7/16/12,584860026,7/22/12,1934,205.7,117.11
Middle East and North Africa,Iraq,Snacks,Online,M,8/28/10,562908399,8/28/10,5959,152.58,97.44
Europe,Austria,Personal Care,Offline,C,8/10/14,499606978,8/22/14,3662,81.73,56.67
Asia,Thailand,Cereal,Online,M,3/10/11,152817094,3/16/11,829,205.7,117.11
Europe,Netherlands,Beverages,Online,M,10/6/14,250712573,11/11/14,277,47.45,31.79
Sub-Saharan Africa,Zimbabwe,Clothes,Online,M,6/23/10,241779744,7/11/10,6854,109.28,35.84
Central America and the Caribbean,Belize,Cereal,Offline,L,1/13/11,544817435,1/22/11,2441,205.7,117.11
Europe,Georgia,Vegetables,Offline,L,1/23/15,298936975,2/19/15,949,154.06,90.93
Central America and the Caribbean,Dominica,Beverages,Online,L,11/24/10,513562190,12/22/10,3319,47.45,31.79
Europe,Slovakia,Beverages,Online,L,8/27/10,918429410,9/28/10,2527,47.45,31.79
Sub-Saharan Africa,Benin,Snacks,Online,M,2/28/16,413587462,4/17/16,8576,152.58,97.44
Central America and the Caribbean,Jamaica,Meat,Online,H,2/25/15,219397675,4/15/15,3503,421.89,364.69
Middle East and North Africa,Syria,Cosmetics,Offline,L,5/17/15,726533877,6/27/15,6374,437.2,263.33
Europe,Bulgaria,Personal Care,Offline,C,6/24/10,145982396,6/24/10,8290,81.73,56.67
Australia and Oceania,Tonga,Beverages,Offline,C,2/16/14,359042060,3/26/14,7379,47.45,31.79
Europe,Finland,Clothes,Online,L,9/30/10,167324197,10/27/10,3803,109.28,35.84
Sub-Saharan Africa,Namibia,Beverages,Online,H,5/3/12,242752635,6/5/12,4754,47.45,31.79
Sub-Saharan Africa,Kenya,Baby Food,Offline,H,10/24/16,877563703,11/23/16,9456,255.28,159.42
Australia and Oceania,Kiribati,Household,Offline,C,10/21/11,634306228,11/24/11,4163,668.27,502.54
Australia and Oceania,Australia,Fruits,Online,M,4/13/16,395841538,5/5/16,7163,9.33,6.92
Sub-Saharan Africa,Eritrea,Office Supplies,Online,L,3/23/16,215343463,4/2/16,3771,651.21,524.96
Europe,Bulgaria,Fruits,Offline,L,10/20/13,666298329,11/18/13,1337,9.33,6.92
Australia and Oceania,Australia,Fruits,Offline,C,1/18/16,592504966,3/4/16,4241,9.33,6.92
Sub-Saharan Africa,The Gambia,Office Supplies,Online,H,11/27/15,258074700,1/7/16,8894,651.21,524.96
Europe,Latvia,Beverages,Online,C,3/7/11,897431361,4/9/11,8738,47.45,31.79
Europe,Bulgaria,Clothes,Online,M,11/18/15,665311276,11/24/15,9246,109.28,35.84
Europe,France,Beverages,Offline,L,1/2/11,486763274,2/2/11,2925,47.45,31.79
Middle East and North Africa,United Arab Emirates,Fruits,Offline,M,6/23/16,907148683,8/2/16,4309,9.33,6.92
Middle East and North Africa,Kuwait,Personal Care,Online,C,8/23/11,742141330,8/30/11,4966,81.73,56.67
Middle East and North Africa,Iran,Personal Care,Offline,M,10/7/14,227727544,10/25/14,8496,81.73,56.67
Central America and the Caribbean,Jamaica,Beverages,Online,M,2/10/11,570206153,3/29/11,5527,47.45,31.79
Sub-Saharan Africa,Rwanda,Cereal,Offline,M,4/14/17,796188485,5/13/17,8721,205.7,117.11
North America,United States of America,Household,Online,C,11/23/16,902598369,1/4/17,7770,668.27,502.54
Europe,Cyprus,Beverages,Offline,M,4/27/17,506672132,5/20/17,4398,47.45,31.79
Middle East and North Africa,Afghanistan,Vegetables,Online,C,8/28/15,195958602,8/29/15,7360,154.06,90.93
Sub-Saharan Africa,Uganda,Cereal,Online,M,1/19/10,178319108,2/3/10,7442,205.7,117.11
Sub-Saharan Africa,Senegal,Vegetables,Offline,C,2/2/11,731927478,3/18/11,2461,154.06,90.93
Middle East and North Africa,Afghanistan,Cosmetics,Online,C,4/7/15,855270040,5/7/15,2266,437.2,263.33
Europe,Estonia,Personal Care,Offline,M,5/10/16,517145621,5/12/16,3736,81.73,56.67
Sub-Saharan Africa,Senegal,Meat,Online,C,10/12/16,206665551,10/17/16,5784,421.89,364.69
Europe,Vatican City,Beverages,Offline,L,3/24/16,483253657,4/14/16,4351,47.45,31.79
Asia,Laos,Vegetables,Online,L,6/16/15,626646268,7/31/15,7411,154.06,90.93
Central America and the Caribbean,Dominican Republic,Clothes,Offline,C,7/3/12,886892211,7/11/12,9969,109.28,35.84
Asia,Nepal,Personal Care,Online,M,1/17/14,234352815,1/26/14,9061,81.73,56.67
Australia and Oceania,Palau,Meat,Offline,M,6/16/16,409701907,7/18/16,8754,421.89,364.69
Europe,Serbia,Snacks,Online,C,3/10/17,973925817,4/5/17,5147,152.58,97.44
Europe,Cyprus,Cereal,Offline,H,12/17/10,658323371,1/12/11,1370,205.7,117.11
Asia,Indonesia,Meat,Online,L,4/13/16,514505898,5/16/16,2584,421.89,364.69
Central America and the Caribbean,Dominica,Vegetables,Online,H,1/26/11,764397227,3/1/11,981,154.06,90.93
Sub-Saharan Africa,Malawi,Clothes,Offline,M,3/6/12,350233685,4/6/12,785,109.28,35.84
Australia and Oceania,East Timor,Snacks,Offline,L,1/7/11,984564101,1/20/11,3252,152.58,97.44
Asia,Mongolia,Office Supplies,Offline,C,3/17/15,400249803,4/21/15,1666,651.21,524.96
Sub-Saharan Africa,Kenya,Clothes,Offline,C,7/2/14,900464618,8/6/14,6346,109.28,35.84
Europe,Moldova ,Vegetables,Offline,M,11/11/14,808694875,11/30/14,9639,154.06,90.93
Sub-Saharan Africa,Mozambique,Cereal,Offline,H,12/18/11,318739402,1/17/12,927,205.7,117.11
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Online,H,2/10/10,144709527,3/5/10,1620,668.27,502.54
Australia and Oceania,Papua New Guinea,Snacks,Online,C,11/22/10,171029078,1/4/11,160,152.58,97.44
Sub-Saharan Africa,Guinea,Snacks,Offline,L,12/15/16,802434384,1/31/17,7021,152.58,97.44
Europe,Lithuania,Fruits,Online,L,2/1/13,713974273,3/4/13,9708,9.33,6.92
Asia,Tajikistan,Meat,Offline,H,6/6/15,901010072,6/10/15,7758,421.89,364.69
Central America and the Caribbean,Antigua and Barbuda ,Snacks,Online,L,9/5/14,629215610,9/19/14,7736,152.58,97.44
Middle East and North Africa,Saudi Arabia,Office Supplies,Online,L,3/5/10,584577214,3/27/10,8243,651.21,524.96
Asia,Myanmar,Meat,Online,H,9/6/13,623393714,10/2/13,4908,421.89,364.69
Australia and Oceania,Australia,Baby Food,Online,H,4/22/15,222276437,5/30/15,5392,255.28,159.42
Australia and Oceania,Kiribati,Baby Food,Offline,C,1/3/10,728149211,1/12/10,4387,255.28,159.42
Middle East and North Africa,Pakistan,Vegetables,Offline,C,7/13/16,408248364,7/16/16,8618,154.06,90.93
Europe,Albania,Beverages,Online,C,1/13/13,300122725,2/4/13,1839,47.45,31.79
Europe,Norway,Office Supplies,Online,M,8/9/16,161633622,9/9/16,9836,651.21,524.96
Europe,Vatican City,Meat,Offline,H,4/26/11,720954883,5/30/11,5426,421.89,364.69
Middle East and North Africa,Algeria,Snacks,Online,C,8/6/12,526572835,9/23/12,3458,152.58,97.44
Europe,Hungary,Snacks,Online,C,6/10/10,897286307,7/7/10,5813,152.58,97.44
Asia,Tajikistan,Baby Food,Offline,L,1/16/11,972206628,2/27/11,6401,255.28,159.42
Sub-Saharan Africa,Djibouti,Household,Offline,M,4/26/10,860757625,6/12/10,6164,668.27,502.54
Europe,Macedonia,Cereal,Offline,H,10/20/12,292675626,11/2/12,8076,205.7,117.11
Sub-Saharan Africa,Lesotho,Meat,Online,C,10/2/12,868009459,11/21/12,2143,421.89,364.69
Europe,Denmark,Beverages,Offline,C,1/21/13,207120454,2/17/13,400,47.45,31.79
Australia and Oceania,Nauru,Personal Care,Online,H,11/16/13,500682437,11/21/13,1914,81.73,56.67
Europe,Moldova ,Vegetables,Offline,M,6/11/16,859681737,6/19/16,7785,154.06,90.93
Australia and Oceania,Australia,Cereal,Online,M,9/13/11,465417182,10/30/11,6142,205.7,117.11
Europe,Slovenia,Meat,Offline,H,5/12/14,819500100,6/26/14,7146,421.89,364.69
Central America and the Caribbean,Guatemala,Personal Care,Online,C,9/16/13,793854320,10/3/13,7989,81.73,56.67
Central America and the Caribbean,Dominican Republic,Clothes,Online,C,3/28/15,680716168,5/7/15,7896,109.28,35.84
Middle East and North Africa,Israel,Clothes,Online,C,2/19/14,842634475,3/17/14,3121,109.28,35.84
Asia,Brunei,Beverages,Online,L,4/1/14,362470567,4/5/14,1950,47.45,31.79
Asia,Myanmar,Snacks,Online,H,9/5/16,193398272,10/16/16,9701,152.58,97.44
Europe,Croatia,Household,Offline,M,1/16/16,908903920,1/31/16,3723,668.27,502.54
Australia and Oceania,Tonga,Clothes,Online,C,10/14/11,452786338,11/29/11,8394,109.28,35.84
Europe,Belarus,Vegetables,Online,M,1/3/12,889156854,1/15/12,127,154.06,90.93
Sub-Saharan Africa,Mali,Meat,Online,L,7/4/14,752439296,8/7/14,2363,421.89,364.69
Asia,Bangladesh,Cosmetics,Offline,M,7/29/10,897369992,9/11/10,577,437.2,263.33
Sub-Saharan Africa,Djibouti,Office Supplies,Online,H,7/4/11,448997771,7/17/11,7273,651.21,524.96
Sub-Saharan Africa,Eritrea,Baby Food,Online,H,7/2/14,852683961,7/28/14,6987,255.28,159.42
Middle East and North Africa,Iran,Snacks,Offline,M,1/18/14,924102389,1/21/14,1287,152.58,97.44
Asia,Kyrgyzstan,Meat,Offline,H,4/11/13,899239385,5/14/13,3772,421.89,364.69
Sub-Saharan Africa,Mauritius ,Snacks,Offline,C,8/2/12,184393775,9/8/12,5071,152.58,97.44
Sub-Saharan Africa,Ghana,Cosmetics,Offline,M,6/12/13,506176888,6/16/13,7845,437.2,263.33
Central America and the Caribbean,Dominican Republic,Cosmetics,Offline,M,8/7/14,961512553,8/15/14,1786,437.2,263.33
Sub-Saharan Africa,Togo,Baby Food,Offline,L,11/11/15,267637097,12/21/15,8619,255.28,159.42
Sub-Saharan Africa,Angola,Fruits,Offline,L,4/28/14,812099349,5/23/14,7099,9.33,6.92
Sub-Saharan Africa,Ghana,Baby Food,Offline,C,9/15/15,102760636,9/19/15,8011,255.28,159.42
Europe,Romania,Meat,Online,H,6/13/15,217794787,6/19/15,9172,421.89,364.69
Sub-Saharan Africa,Zimbabwe,Clothes,Online,C,1/18/10,155688130,2/10/10,432,109.28,35.84
Sub-Saharan Africa,Benin,Beverages,Offline,H,12/31/15,785239493,2/3/16,8671,47.45,31.79
Middle East and North Africa,Algeria,Clothes,Offline,M,12/30/12,795560204,2/2/13,2798,109.28,35.84
Middle East and North Africa,Lebanon,Fruits,Online,H,11/20/15,746074092,11/24/15,8758,9.33,6.92
Europe,Vatican City,Cereal,Offline,H,4/9/10,816517484,5/18/10,4523,205.7,117.11
Middle East and North Africa,Somalia,Baby Food,Online,H,11/28/16,356939208,12/21/16,5098,255.28,159.42
Europe,Estonia,Household,Offline,L,3/9/12,137700593,3/10/12,7520,668.27,502.54
Middle East and North Africa,Libya,Personal Care,Offline,L,3/14/15,999475467,3/24/15,5856,81.73,56.67
Asia,Uzbekistan,Cereal,Online,H,10/26/15,703250157,12/13/15,6204,205.7,117.11
Sub-Saharan Africa,Lesotho,Snacks,Online,M,5/5/16,680323493,6/23/16,1695,152.58,97.44
Sub-Saharan Africa,Democratic Republic of the Congo,Snacks,Offline,C,7/23/12,182306802,8/6/12,7489,152.58,97.44
